Accession	Organism_Name	GenBank_RefSeq	Assembly	SRA_Accession	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Genus	Family	Molecule_type	Length	Nuc_Completeness	Genotype	Segment	Publications	Geo_Location	Country	USA	Host	Tissue_Specimen_Source	Collection_Date	BioSample	BioProject	GenBank_Title	date	country	strain	virus	latitude	longitude
KY126665.1	Rift Valley fever virus	GenBank						13-NOV-2020	SPU105/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens		2010			Rift Valley fever virus isolate SPU105/10 segment L, complete sequence	2010		SPU105/10	rvf		
GQ443209.1	Rift Valley fever virus	GenBank						25-JUL-2016	1464-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	564	partial		unknown					Homo sapiens	serum	28-Mar-2008			Rift Valley fever virus strain 1464-08 segment L polymerase gene, partial cds	2008-03-28		1464-08	rvf		
GQ443150.1	Rift Valley fever virus	GenBank						25-JUL-2016	0853-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	627	partial		unknown					Homo sapiens	serum	23-Mar-2008			Rift Valley fever virus strain 0853-08 segment S nonstructural protein gene, partial cds	2008-03-23		0853-08	rvf		
M33089.1	Rift Valley fever virus	GenBank						03-AUG-1993	Zimbabwian isolate ZIM39 (2051/76)	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	90	partial		unknown										Rift Valley fever virus (Zimbabwian isolate ZIM39 (2051/76)) M segment nonstructural glycoprotein gene, partial cds			Zimbabwian isolate ZIM39 (2051/76)	rvf		
MG659818.1	Rift Valley fever virus	GenBank						13-NOV-2020	HD21955	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		1975			Rift Valley fever virus isolate HD21955 segment M, complete sequence	1975		HD21955	rvf		
EU574007.1	Rift Valley fever virus	GenBank						29-OCT-2008	2007003081	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					bovine		27-Feb-2007			Rift Valley fever virus strain 2007003081 segment L, complete sequence	2007-02-27		2007003081	rvf		
PP746346.1	Rift Valley fever virus	GenBank						22-AUG-2024	Rwanda2022P104	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3570	partial		M					Bos taurus		2022-08-08			Rift Valley fever virus strain Rwanda2022P104 glycoprotein gene, partial cds	2022-08-08		Rwanda2022P104	rvf		
PP746446.1	Rift Valley fever virus	GenBank						12-FEB-2025	E358	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6399	partial		L					Homo sapiens		10-Feb-1998			Rift Valley fever virus strain E358 polymerase gene, complete cds	1998-02-10		E358	rvf		
PP746426.1	Rift Valley fever virus	GenBank						12-FEB-2025	J8	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6251	partial		L					Homo sapiens		01-Jan-2007			Rift Valley fever virus strain J8 polymerase gene, partial cds	2007-01-01		J8	rvf		
MG659747.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA106/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2010			Rift Valley fever virus isolate SA106/10 segment M, complete sequence	2010		SA106/10	rvf		
MG659806.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA320/11	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2011			Rift Valley fever virus isolate SA320/11 segment M, complete sequence	2011		SA320/11	rvf		
HM586955.1	Rift Valley fever virus	GenBank						14-APR-2011	KEN/Kil-006/07	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	partial		L					Homo sapiens		05-Jan-2007			Rift Valley fever virus strain KEN/Kil-006/07 polymerase (L) gene, complete cds	2007-01-05		KEN/Kil-006/07	rvf		
MG659754.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA206/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2010			Rift Valley fever virus isolate SA206/10 segment M, complete sequence	2010		SA206/10	rvf		
EU574039.1	Rift Valley fever virus	GenBank						29-OCT-2008	2007002060	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					bovine		31-Jan-2007			Rift Valley fever virus strain 2007002060 segment M, complete sequence	2007-01-31		2007002060	rvf		
PQ753152.1	Rift Valley fever virus	GenBank						01-FEB-2025	RW004	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	551	partial		unknown					Anopheles ziemanni	whole body	27-Apr-2022			Rift Valley fever virus strain RW004 glycoprotein gene, partial cds	2022-04-27		RW004	rvf		
OR528953.1	Rift Valley fever virus	GenBank						26-FEB-2024	2019/Sample-166	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Cephalophorus callipygus	liver/spleen	06-Jul-2019			Rift Valley fever virus strain 2019/Sample-166 segment S, complete sequence	2019-07-06		2019/Sample-166	rvf		
PP746413.1	Rift Valley fever virus	GenBank						22-AUG-2024	Rwanda2022P91	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1658	partial		S					Bos taurus		2022-09-07			Rift Valley fever virus strain Rwanda2022P91 nonstructural protein gene, complete cds; and nucleocapsid gene, partial cds	2022-09-07		Rwanda2022P91	rvf		
GQ443185.1	Rift Valley fever virus	GenBank						25-JUL-2016	0682-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	564	partial		unknown					Homo sapiens	serum	12-Mar-2008			Rift Valley fever virus strain 0682-08 segment L polymerase gene, partial cds	2008-03-12		0682-08	rvf		
GQ443245.1	Rift Valley fever virus	GenBank						25-JUL-2016	0892-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	756	partial		unknown					Homo sapiens	serum	26-Mar-2008			Rift Valley fever virus strain 0892-08 segment M glycoprotein G2 gene, partial cds	2008-03-26		0892-08	rvf		
KY126669.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA275/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens		2010			Rift Valley fever virus isolate SA275/10 segment L, complete sequence	2010		SA275/10	rvf		
HM587076.1	Rift Valley fever virus	GenBank						09-DEC-2011	SPU204/85	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	490	partial		unknown					Homo sapiens		1985			Rift Valley fever virus isolate SPU204/85 segment M glycoprotein G2 gene, partial cds	1985		SPU204/85	rvf		
HM587082.1	Rift Valley fever virus	GenBank						09-DEC-2011	74HB59	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	490	partial		unknown					Homo sapiens		1974			Rift Valley fever virus isolate 74HB59 segment M glycoprotein G2 gene, partial cds	1974		74HB59	rvf		
KX944851.1	Rift Valley fever virus	GenBank						25-OCT-2018	M127/09	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	partial		L					bovine		2009			Rift Valley fever virus isolate M127/09 segment L polymerase gene, complete cds	2009		M127/09	rvf		
PP746357.1	Rift Valley fever virus	GenBank						22-AUG-2024	Rwanda2022P33	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3513	partial		M					Bos taurus		2022-06-25			Rift Valley fever virus strain Rwanda2022P33 glycoprotein gene, partial cds	2022-06-25		Rwanda2022P33	rvf		
KY196506.1	Rift Valley fever virus	GenBank						13-NOV-2020	SPU404/09	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Homo sapiens		2009			Rift Valley fever virus isolate SPU404/09 segment S, complete sequence	2009		SPU404/09	rvf		
EU574041.1	Rift Valley fever virus	GenBank						29-OCT-2008	2007001809	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					caprine		01-Dec-2006			Rift Valley fever virus strain 2007001809 segment M, complete sequence	2006-12-01		2007001809	rvf		
MG659983.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA579/11	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Homo sapiens		2011			Rift Valley fever virus isolate SA579/11 segment S, complete sequence	2011		SA579/11	rvf		
GQ443177.1	Rift Valley fever virus	GenBank						25-JUL-2016	0406-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	564	partial		unknown					Bos taurus	fetal liver	20-Feb-2008			Rift Valley fever virus strain 0406-08 segment L polymerase gene, partial cds	2008-02-20		0406-08	rvf		
MG972977.1	Rift Valley fever virus	GenBank						05-MAR-2020	201707023	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1686	complete		S					Homo sapiens		16-Nov-2017			Rift Valley fever virus strain 201707023 segment S, complete sequence	2017-11-16		201707023	rvf		
OP146107.1	Rift Valley fever virus	GenBank						29-MAR-2023	RSA/OBP/RVFVSmithburn/LAV	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6375	complete		L							1944	SAMN29826207	PRJNA756858	Rift Valley fever virus strain RSA/OBP/RVFVSmithburn/LAV isolate Smithburn segment L, complete sequence	1944		RSA/OBP/RVFVSmithburn/LAV	rvf		
MG659741.1	Rift Valley fever virus	GenBank						13-NOV-2020	SPU86/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2010			Rift Valley fever virus isolate SPU86/10 segment M, complete sequence	2010		SPU86/10	rvf		
PP746408.1	Rift Valley fever virus	GenBank						22-AUG-2024	Rwanda2022P73	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1658	partial		S					Ovis aries		2022-03-07			Rift Valley fever virus strain Rwanda2022P73 nonstructural protein and nucleocapsid genes, complete cds	2022-03-07		Rwanda2022P73	rvf		
OM744376.1	Rift Valley fever virus	GenBank						20-MAR-2022	DVS-321	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6399	complete		L					Bos taurus		15-Jul-2021			Rift Valley fever virus strain DVS-321 segment L, complete sequence	2021-07-15		DVS-321	rvf		
JF311376.1	Rift Valley fever virus	GenBank						16-JUN-2011	200803170	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					bovine		Mar-2008			Rift Valley fever virus strain 200803170 segment L, complete sequence	2008		200803170	rvf		
MG659828.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA93/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens		2010			Rift Valley fever virus isolate SA93/10 segment L, complete sequence	2010		SA93/10	rvf		
KY196488.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA129/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Homo sapiens		2010			Rift Valley fever virus isolate SA129/10 segment S, complete sequence	2010		SA129/10	rvf		
MG659780.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA635/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2010			Rift Valley fever virus isolate SA635/10 segment M, complete sequence	2010		SA635/10	rvf		
PP746324.1	Rift Valley fever virus	GenBank						22-AUG-2024	Rwanda2022P40	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	5936	partial		M					Bos taurus		2022-07-03			Rift Valley fever virus strain Rwanda2022P40 polymerase gene, partial cds	2022-07-03		Rwanda2022P40	rvf		
MZ513009.1	Rift Valley fever virus	GenBank						04-MAR-2022	SH327052	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3600	partial		M					Homo sapiens	serum	2020			Rift Valley fever virus isolate SH327052 nonfunctional glycoprotein gene, partial sequence	2020		SH327052	rvf		
MW567933.1	Phlebovirus riftense	GenBank						28-APR-2021	46A-66	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	798	partial		unknown					Aedes mcintoshi		2007			Phlebovirus riftense isolate 46A-66 segment S nonstructural protein gene, complete cds	2007		46A-66	rvf		
KX944822.1	Rift Valley fever virus	GenBank						25-OCT-2018	M66/09	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1689	partial		S					bovine		2009			Rift Valley fever virus isolate M66/09 nonstructural protein and nucleocapsid protein genes, complete cds	2009		M66/09	rvf		
MG659891.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA295/11	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens		2011			Rift Valley fever virus isolate SA295/11 segment L, complete sequence	2011		SA295/11	rvf		
MG659811.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA579/11	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2011			Rift Valley fever virus isolate SA579/11 segment M, complete sequence	2011		SA579/11	rvf		
GU135858.1	Rift Valley fever virus	GenBank						03-APR-2012	FI-79	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	756	partial		unknown					Anopheles squamosus	unfed female mosquitos	20-Dec-2008			Rift Valley fever virus strain FI-79 segment M glycoprotein Gn gene, partial cds	2008-12-20		FI-79	rvf		
MG659899.1	Rift Valley fever virus	GenBank						13-NOV-2020	S35	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					ovine		1972			Rift Valley fever virus isolate S35 segment L, complete sequence	1972		S35	rvf		
OM744370.1	Rift Valley fever virus	GenBank						20-MAR-2022	DVS-230	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1689	complete		S					Bos taurus		15-Jul-2021			Rift Valley fever virus strain DVS-230 segment S, complete sequence	2021-07-15		DVS-230	rvf		
MG659853.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA395/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens		2010			Rift Valley fever virus isolate SA395/10 segment L, complete sequence	2010		SA395/10	rvf		
GQ443153.1	Rift Valley fever virus	GenBank						25-JUL-2016	0856-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	627	partial		unknown					Bos taurus	serum	24-Mar-2008			Rift Valley fever virus strain 0856-08 segment S nonstructural protein gene, partial cds	2008-03-24		0856-08	rvf		
OM744368.1	Rift Valley fever virus	GenBank						20-MAR-2022	DVS-356	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3874	complete		M					Bos taurus		15-Jul-2021			Rift Valley fever virus strain DVS-356 segment M, complete sequence	2021-07-15		DVS-356	rvf		
AF134505.1	Rift Valley fever virus	GenBank						26-JUL-2016	B EGY93	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic DNA	727	partial		unknown										Rift Valley fever virus B EGY93 M segment G2 (G2) gene, partial cds			B EGY93	rvf		
ON060805.1	Rift Valley fever virus	GenBank						25-MAR-2023	201902750_L|Uganda|2018	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6388	partial		L			Uganda		Homo sapiens		2018			Rift Valley fever virus isolate 201902750_L|Uganda|2018 RNA-dependent RNA polymerase gene, complete cds	2018	Uganda	201902750_L|Uganda|2018	rvf	1.3733	32.2903
OP158213.1	Phlebovirus riftense	GenBank						13-FEB-2024	CML3	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3840	partial		M					Bos taurus		27-Jul-2018			Phlebovirus riftense isolate CML3 glycoprotein gene, partial cds	2018-07-27		CML3	rvf		
MG659955.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA705/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S					Homo sapiens		2010			Rift Valley fever virus isolate SA705/10 segment S, complete sequence	2010		SA705/10	rvf		
KX944833.1	Rift Valley fever virus	GenBank						25-OCT-2018	M21/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3875	partial		M					ovine		2010			Rift Valley fever virus isolate M21/10 glycoprotein gene, complete cds	2010		M21/10	rvf		
KX503063.1	Rift Valley fever virus	GenBank						17-JAN-2017	FLI_MR202/13_M	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	405	partial		unknown					cattle		21-Mar-2013			Rift Valley fever virus isolate FLI_MR202/13_M glycoprotein gene, partial cds	2013-03-21		FLI_MR202/13_M	rvf		
MG659852.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA394/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens		2010			Rift Valley fever virus isolate SA394/10 segment L, complete sequence	2010		SA394/10	rvf		
HM586953.1	Rift Valley fever virus	GenBank						14-APR-2011	KEN/Gar-004/06	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	partial		L					Homo sapiens		21-Dec-2006			Rift Valley fever virus strain KEN/Gar-004/06 polymerase (L) gene, complete cds	2006-12-21		KEN/Gar-004/06	rvf		
MG659982.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA389/11	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Homo sapiens		2011			Rift Valley fever virus isolate SA389/11 segment S, complete sequence	2011		SA389/11	rvf		
MG659920.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA110/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Homo sapiens		2010			Rift Valley fever virus isolate SA110/10 segment S, complete sequence	2010		SA110/10	rvf		
HM587080.1	Rift Valley fever virus	GenBank						09-DEC-2011	VRL1887/78	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	490	partial		unknown					bovine		1978			Rift Valley fever virus isolate VRL1887/78 segment M glycoprotein G2 gene, partial cds	1978		VRL1887/78	rvf		
EU574044.1	Rift Valley fever virus	GenBank						29-OCT-2008	2007001564	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					bovine		29-Jan-2007			Rift Valley fever virus strain 2007001564 segment M, complete sequence	2007-01-29		2007001564	rvf		
KY196494.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA982/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S					Homo sapiens		2010			Rift Valley fever virus isolate SA982/10 segment S, complete sequence	2010		SA982/10	rvf		
JF311368.1	Rift Valley fever virus	GenBank						16-JUN-2011	200803162	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens		Jan-2008			Rift Valley fever virus strain 200803162 segment L, complete sequence	2008		200803162	rvf		
OR844391.1	Rift Valley fever virus	GenBank						26-JUN-2024	25010-30	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M										Rift Valley fever virus isolate 25010-30 segment M, complete sequence			25010-30	rvf		
MG659901.1	Rift Valley fever virus	GenBank						13-NOV-2020	VRL1217/78	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					ovine		1978			Rift Valley fever virus isolate VRL1217/78 segment L, complete sequence	1978		VRL1217/78	rvf		
KY126692.1	Rift Valley fever virus	GenBank						13-NOV-2020	SPU162/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2010			Rift Valley fever virus isolate SPU162/10 segment M, complete sequence	2010		SPU162/10	rvf		
MT561459.1	Rift Valley fever virus	GenBank						05-MAY-2021	Namibia_2010	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					ovine		30-Jul-2010			Rift Valley fever virus isolate Namibia_2010 segment S, complete sequence	2010-07-30		Namibia_2010	rvf		
PP746447.1	Rift Valley fever virus	GenBank						12-FEB-2025	HA-HAR	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6373	partial		L					Homo sapiens		01-Jan-2007			Rift Valley fever virus strain HA-HAR polymerase gene, complete cds	2007-01-01		HA-HAR	rvf		
KX944816.1	Rift Valley fever virus	GenBank						25-OCT-2018	M33/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1676	partial		S					ovine		2010			Rift Valley fever virus isolate M33/10 nonstructural protein and nucleocapsid protein genes, complete cds	2010		M33/10	rvf		
